"","INSTNM","md_earn_wne_p10.REPORTED.EARNINGS","PREDDEG","index_std","AfterScorecardRelease","HighEarning"
"304","College of the Holy Cross",63700,3,-0.0304684911126409,0,1
"305","College of the Ozarks",31700,3,-0.0300705852404592,0,0
"306","College of William and Mary",56400,3,0.0757058678294846,0,1
"307","Collins College",25200,3,0.0315854676800168,0,0
"308","Colorado Christian University",40500,3,-0.0237458869875176,0,0
"309","Colorado College",41100,3,-0.0191383324843702,0,1
"310","Colorado Mesa University",34600,3,0.0333319594121676,0,0
"311","Colorado School of Mines",74700,3,0.0648553540822401,0,1
"312","Colorado State University-Fort Collins",44300,3,0.0549275089047239,0,1
"313","Colorado State University-Pueblo",36200,3,0.0503061302048674,0,0
"314","Colorado Technical University-Colorado Springs",44100,3,0.024118684531374,0,1
"315","Colorado Technical University-Online",44100,3,0.0718279459423808,0,1
"316","Colorado Technical University-Sioux Falls",44100,3,-0.0186306674155742,0,1
"317","Columbia College-Chicago",32700,3,0.102626021301893,0,0
"318","Columbia International University",29600,3,-0.0172958624531774,0,0
"319","Columbia University in the City of New York",72900,3,0.0733164409174322,0,1
"320","Columbus College of Art and Design",32800,3,0.0390598588271357,0,0
"321","Columbus State University",36100,3,0.0705393304417229,0,0
"322","Concord University",32900,3,0.100547483733114,0,0
"323","Concordia College-New York",45300,3,-0.0107963935799924,0,1
"324","Concordia College Alabama",21300,3,0.0179948767338118,0,0
"325","Concordia College at Moorhead",41200,3,0.00199705736971747,0,1
"326","Concordia University-Ann Arbor",39000,3,-0.0886448080169457,0,0
"327","Concordia University-Chicago",41500,3,0.0748478759378378,0,1
"328","Concordia University-Irvine",42100,3,0.0421004620834892,0,1
"329","Concordia University-Nebraska",36600,3,0.0079793636860467,0,0
"330","Concordia University-Portland",41800,3,0.168287712019798,0,1
"331","Concordia University-Saint Paul",45300,3,0.0655331196021924,0,1
"332","Concordia University-Texas",41000,3,0.0782492822315521,0,1
"333","Concordia University-Wisconsin",40700,3,0.054207167443921,0,0
"334","Connecticut College",51000,3,-0.0176749743365651,0,1
"335","Converse College",33400,3,0.0434156458233581,0,0
"336","Cooper Union for the Advancement of Science and Art",53700,3,0.0198082954301219,0,1
"337","Coppin State University",37600,3,0.0655800206075873,0,0
"338","Corban University",34200,3,-0.0844634104316574,0,0
"339","Corcoran College of Art and Design",34100,3,0.219745292790771,0,0
"340","Cornell College",41900,3,-0.134929122077822,0,1
"341","Cornell University",70900,3,-0.0520772510866324,0,1
"342","Cornerstone University",35600,3,0.0705533408538584,0,0
"343","Cornish College of the Arts",29900,3,-0.00809649948037392,0,0
